# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "../../../../local_scratch/ClINT/RawData/ref_genome.gff" "-o" ".//vartable_output/FO13679x01/fc_output.txt" "-t" "gene" "-g" "locus_tag" "../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam" "../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam" "../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam" "-T" "10" 
Geneid	Chr	Start	End	Strand	Length	../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam	../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam	../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam
ACCFDFCE_00001	1	1	1362	+	1362	6703	7938	8673
ACCFDFCE_00002	1	1640	2773	+	1134	6924	7848	9334
ACCFDFCE_00003	1	3163	3399	+	237	573	609	779
ACCFDFCE_00004	1	3396	4508	+	1113	2972	3161	3980
ACCFDFCE_00005	1	4518	6452	+	1935	5717	5575	7650
ACCFDFCE_00006	1	6489	9152	+	2664	5822	6336	8197
ACCFDFCE_00007	1	9239	10051	-	813	206	380	465
ACCFDFCE_00008	1	10377	11891	+	1515	6357	4896	549
ACCFDFCE_00009	1	11964	12180	+	217	2914	2212	909
ACCFDFCE_00010	1	12270	13556	+	1287	7011	12746	12220
ACCFDFCE_00011	1	14206	14901	+	696	236	319	387
ACCFDFCE_00012	1	14898	15227	+	330	160	220	295
ACCFDFCE_00013	1	15432	15530	+	99	914	398	471
ACCFDFCE_00014	1	15590	16558	+	969	648	377	470
ACCFDFCE_00015	1	16864	17787	+	924	1639	1673	2453
ACCFDFCE_00016	1	17802	19769	+	1968	6387	6674	10217
ACCFDFCE_00017	1	19766	20218	+	453	2769	2894	4324
ACCFDFCE_00018	1	20250	21650	+	1401	3853	4895	7318
ACCFDFCE_00019	1	21928	23211	+	1284	159	161	188
ACCFDFCE_00020	1	23641	23715	+	75	1	0	1
ACCFDFCE_00021	1	23723	23795	+	73	0	1	0
ACCFDFCE_00022	1	24415	25116	+	702	2320	2871	4251
ACCFDFCE_00023	1	25129	26955	+	1827	4484	5706	7753
ACCFDFCE_00024	1	26948	28282	+	1335	2996	3626	5277
ACCFDFCE_00025	1	28283	29071	+	789	1809	2019	3079
ACCFDFCE_00026	1	29461	30261	+	801	210	202	277
ACCFDFCE_00027	1	30489	32807	+	2319	2887	1497	2371
ACCFDFCE_00028	1	33175	33654	+	480	775	829	745
ACCFDFCE_00029	1	34196	35941	+	1746	4314	3977	3864
ACCFDFCE_00030	1	36035	36487	-	453	359	268	341
ACCFDFCE_00031	1	36702	37457	-	756	169	163	229
ACCFDFCE_00032	1	37457	37717	-	261	43	23	43
ACCFDFCE_00033	1	37854	38921	+	1068	78	56	79
ACCFDFCE_00034	1	38952	40286	+	1335	118	120	185
ACCFDFCE_00035	1	40305	41498	+	1194	124	151	189
ACCFDFCE_00036	1	42165	43151	-	987	214	306	293
ACCFDFCE_00037	1	43712	44008	+	297	172	116	145
ACCFDFCE_00038	1	44080	45300	-	1221	344	227	227
ACCFDFCE_00039	1	45293	45844	-	552	32	50	39
ACCFDFCE_00040	1	45957	46817	+	861	282	328	609
ACCFDFCE_00041	1	47172	47705	-	534	53	80	38
ACCFDFCE_00042	1	47805	48539	+	735	83	117	112
ACCFDFCE_00043	1	48973	49575	+	603	614	352	965
ACCFDFCE_00044	1	49842	52994	+	3153	7662	7475	6446
ACCFDFCE_00045	1	53051	53533	+	483	1822	1740	1486
ACCFDFCE_00046	1	53738	54724	+	987	1248	1076	1263
ACCFDFCE_00047	1	54945	55715	+	771	405	171	521
ACCFDFCE_00048	1	55734	56537	+	804	598	187	632
ACCFDFCE_00049	1	56601	57371	+	771	432	140	494
ACCFDFCE_00050	1	57438	58205	+	768	551	160	589
ACCFDFCE_00051	1	58299	60536	+	2238	3125	3023	5400
ACCFDFCE_00052	1	60687	61865	+	1179	383	422	409
ACCFDFCE_00053	1	61867	63255	+	1389	413	517	424
ACCFDFCE_00054	1	63748	65415	-	1668	659	508	362
ACCFDFCE_00055	1	65735	67510	-	1776	319	203	447
ACCFDFCE_00056	1	67684	68556	-	873	22	18	39
ACCFDFCE_00057	1	68669	70066	+	1398	95	170	239
ACCFDFCE_00058	1	70256	70729	+	474	125	179	230
ACCFDFCE_00059	1	70991	72583	+	1593	7604	10560	7194
ACCFDFCE_00060	1	72912	74462	-	1551	36350	1217103	28298
ACCFDFCE_00061	1	74883	75635	-	753	85	3790	85
ACCFDFCE_00062	1	76004	77002	-	999	230	497	255
ACCFDFCE_00063	1	76999	77994	-	996	242	607	297
ACCFDFCE_00064	1	78010	79002	-	993	399	1322	761
ACCFDFCE_00065	1	79233	80213	+	981	32	9	18
ACCFDFCE_00066	1	80210	81220	+	1011	21	16	12
ACCFDFCE_00067	1	81241	82995	+	1755	82	52	41
ACCFDFCE_00068	1	83072	84244	+	1173	35	26	24
ACCFDFCE_00069	1	84234	85970	+	1737	82	59	83
ACCFDFCE_00070	1	85951	87729	+	1779	98	115	105
ACCFDFCE_00071	1	87701	88480	+	780	57	94	57
ACCFDFCE_00072	1	88480	89682	+	1203	104	124	127
ACCFDFCE_00073	1	89686	90450	+	765	134	144	144
ACCFDFCE_00074	1	90646	91053	+	408	434	248	635
ACCFDFCE_00075	1	91103	91729	+	627	731	424	1299
ACCFDFCE_00076	1	91941	92717	+	777	5609	9485	9700
ACCFDFCE_00077	1	93062	94033	+	972	55	1543	46
ACCFDFCE_00078	1	93996	94688	+	693	27	629	26
ACCFDFCE_00079	1	94898	96064	+	1167	29	677	34
ACCFDFCE_00080	1	96045	97283	+	1239	23	403	40
ACCFDFCE_00081	1	97273	98703	+	1431	94	421	122
ACCFDFCE_00082	1	98971	99570	+	600	2989	3042	5129
ACCFDFCE_00083	1	99938	100537	+	600	22572	59900	17699
ACCFDFCE_00084	1	100853	101593	-	741	537	678	630
ACCFDFCE_00085	1	101844	102551	+	708	33	50	53
ACCFDFCE_00086	1	102552	103910	+	1359	121	150	163
ACCFDFCE_00087	1	103991	104653	+	663	3747	4058	5980
ACCFDFCE_00088	1	104681	105859	+	1179	3818	5720	6613
ACCFDFCE_00089	1	105990	106805	-	816	106	321	123
ACCFDFCE_00090	1	106802	107602	-	801	99	306	115
ACCFDFCE_00091	1	107604	108377	-	774	158	550	180
ACCFDFCE_00092	1	108591	109547	-	957	230	974	283
ACCFDFCE_00093	1	109776	111320	+	1545	122	124	103
ACCFDFCE_00094	1	111371	112906	+	1536	443	732	702
ACCFDFCE_00095	1	113254	113352	-	99	0	0	0
ACCFDFCE_00096	1	113566	114051	+	486	6	4	6
ACCFDFCE_00097	1	114036	114326	+	291	5	1	7
ACCFDFCE_00098	1	114733	115001	-	269	2278	1647	1687
ACCFDFCE_00099	1	115350	115571	+	222	34	44	26
ACCFDFCE_00100	1	116021	118630	+	2610	390	236	696
ACCFDFCE_00101	1	118975	119643	+	669	148	48	336
ACCFDFCE_00102	1	119659	120345	+	687	218	74	397
ACCFDFCE_00103	1	120348	121112	+	765	307	94	507
ACCFDFCE_00104	1	121132	122955	+	1824	291	103	606
ACCFDFCE_00105	1	122945	123973	+	1029	170	71	301
ACCFDFCE_00106	1	123986	125095	+	1110	150	52	336
ACCFDFCE_00107	1	125099	126223	+	1125	177	73	445
ACCFDFCE_00108	1	126226	126852	+	627	102	47	225
ACCFDFCE_00109	1	126857	127966	+	1110	162	79	412
ACCFDFCE_00110	1	127980	129146	+	1167	96	54	291
ACCFDFCE_00111	1	129139	130344	+	1206	84	38	217
ACCFDFCE_00112	1	130345	131550	+	1206	141	81	425
ACCFDFCE_00113	1	131561	132118	+	558	89	60	233
ACCFDFCE_00114	1	132118	133005	+	888	154	118	424
ACCFDFCE_00115	1	133059	134321	+	1263	303	270	764
ACCFDFCE_00116	1	134398	135543	+	1146	306	366	801
ACCFDFCE_00117	1	135608	135934	-	327	186	476	400
ACCFDFCE_00118	1	135941	136324	-	384	139	210	249
ACCFDFCE_00119	1	136751	138238	+	1488	55036	35716	65772
ACCFDFCE_00120	1	138884	139843	+	960	345	225	336
ACCFDFCE_00121	1	139905	140108	-	204	89	61	86
ACCFDFCE_00122	1	140287	140799	+	513	282	311	442
ACCFDFCE_00123	1	141141	141881	+	741	27	17	33
ACCFDFCE_00124	1	141895	142869	+	975	63	93	79
ACCFDFCE_00125	1	142866	143627	+	762	26	36	66
ACCFDFCE_00126	1	143637	144671	+	1035	62	84	126
ACCFDFCE_00127	1	144888	145247	+	360	2385	3244	4190
ACCFDFCE_00128	1	145420	146445	+	1026	2286	1578	482
ACCFDFCE_00129	1	146831	148081	+	1251	752	821	1178
ACCFDFCE_00130	1	148528	155703	+	7176	4870	3792	9213
ACCFDFCE_00131	1	155716	156360	+	645	736	693	1383
ACCFDFCE_00132	1	156688	157182	-	495	1929	1184	1730
ACCFDFCE_00133	1	157437	158201	-	765	337	281	277
ACCFDFCE_00134	1	158217	159458	-	1242	723	444	442
ACCFDFCE_00135	1	159470	160504	-	1035	494	294	266
ACCFDFCE_00136	1	160062	160253	+	192	0	0	0
ACCFDFCE_00137	1	160540	161724	-	1185	582	318	244
ACCFDFCE_00138	1	161977	163332	-	1356	2719	2890	1744
ACCFDFCE_00139	1	163608	164165	-	558	3171	1527	3756
ACCFDFCE_00140	1	164232	165872	-	1641	13322	5882	15362
ACCFDFCE_00141	1	166146	168191	-	2046	3507	3056	3463
ACCFDFCE_00142	1	168777	169832	+	1056	19828	4994	5648
ACCFDFCE_00143	1	169832	170728	+	897	10024	2376	2923
ACCFDFCE_00144	1	170740	172194	+	1455	16308	4443	4877
ACCFDFCE_00145	1	172194	173072	+	879	7085	2128	2150
ACCFDFCE_00146	1	173266	173547	-	282	247	109	123
ACCFDFCE_00147	1	173760	174350	+	591	1341	1761	1413
ACCFDFCE_00148	1	174405	176549	+	2145	3624	4559	3918
ACCFDFCE_00149	1	176754	177596	+	843	900	1181	1014
ACCFDFCE_00150	1	177598	178521	+	924	885	1111	975
ACCFDFCE_00151	1	178508	179620	+	1113	946	1128	997
ACCFDFCE_00152	1	179885	181477	-	1593	194	263	292
ACCFDFCE_00153	1	181479	182912	+	1434	104	113	117
ACCFDFCE_00154	1	182918	184081	+	1164	76	109	77
ACCFDFCE_00155	1	184098	185873	+	1776	214	188	187
ACCFDFCE_00156	1	185911	187917	+	2007	341	338	441
ACCFDFCE_00157	1	188215	188988	-	774	534	324	724
ACCFDFCE_00158	1	189178	189804	-	627	501	878	933
