# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "../../../../local_scratch/ClINT/RawData/ref_genome.gff" "-o" "./vartable_output/Patient1/featureCounts/fc_output.txt" "-t" "gene" "-g" "locus_tag" "../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam" "../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam" "../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam" "-T" "10"
Geneid	Chr	Start	End	Strand	Length	../../test_dir/bams/20096b089_dedup_snc_trimmed_Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam	../../test_dir/bams/20096b001_dedup_snc_trimmed_Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam	../../test_dir/bams/20096b044_dedup_snc_trimmed_Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam
ACCFDFCE_00001	1	1	1362	+	1362	293	364	395
ACCFDFCE_00002	1	1640	2773	+	1134	363	432	510
ACCFDFCE_00003	1	3163	3399	+	237	144	160	204
ACCFDFCE_00004	1	3396	4508	+	1113	159	177	222
ACCFDFCE_00005	1	4518	6452	+	1935	176	180	245
ACCFDFCE_00006	1	6489	9152	+	2664	130	148	191
ACCFDFCE_00007	1	9239	10051	-	813	15	29	35
ACCFDFCE_00008	1	10377	11891	+	1515	249	202	22
ACCFDFCE_00009	1	11964	12180	+	217	798	636	260
ACCFDFCE_00010	1	12270	13556	+	1287	324	618	588
ACCFDFCE_00011	1	14206	14901	+	696	20	29	34
ACCFDFCE_00012	1	14898	15227	+	330	29	42	55
ACCFDFCE_00013	1	15432	15530	+	99	549	251	295
ACCFDFCE_00014	1	15590	16558	+	969	40	24	30
ACCFDFCE_00015	1	16864	17787	+	924	105	113	164
ACCFDFCE_00016	1	17802	19769	+	1968	193	212	322
ACCFDFCE_00017	1	19766	20218	+	453	363	398	591
ACCFDFCE_00018	1	20250	21650	+	1401	163	218	324
ACCFDFCE_00019	1	21928	23211	+	1284	7	8	9
ACCFDFCE_00020	1	23641	23715	+	75	1	0	1
ACCFDFCE_00021	1	23723	23795	+	73	0	1	0
ACCFDFCE_00022	1	24415	25116	+	702	196	255	375
ACCFDFCE_00023	1	25129	26955	+	1827	146	195	263
ACCFDFCE_00024	1	26948	28282	+	1335	133	169	245
ACCFDFCE_00025	1	28283	29071	+	789	136	160	242
ACCFDFCE_00026	1	29461	30261	+	801	16	16	21
ACCFDFCE_00027	1	30489	32807	+	2319	74	40	63
ACCFDFCE_00028	1	33175	33654	+	480	96	108	96
ACCFDFCE_00029	1	34196	35941	+	1746	147	142	137
ACCFDFCE_00030	1	36035	36487	-	453	47	37	47
ACCFDFCE_00031	1	36702	37457	-	756	13	13	19
ACCFDFCE_00032	1	37457	37717	-	261	10	5	10
ACCFDFCE_00033	1	37854	38921	+	1068	4	3	5
ACCFDFCE_00034	1	38952	40286	+	1335	5	6	9
ACCFDFCE_00035	1	40305	41498	+	1194	6	8	10
ACCFDFCE_00036	1	42165	43151	-	987	13	19	18
ACCFDFCE_00037	1	43712	44008	+	297	34	24	30
ACCFDFCE_00038	1	44080	45300	-	1221	17	12	12
ACCFDFCE_00039	1	45293	45844	-	552	3	6	4
ACCFDFCE_00040	1	45957	46817	+	861	19	24	44
ACCFDFCE_00041	1	47172	47705	-	534	6	9	4
ACCFDFCE_00042	1	47805	48539	+	735	7	10	9
ACCFDFCE_00043	1	48973	49575	+	603	61	36	99
ACCFDFCE_00044	1	49842	52994	+	3153	144	148	127
ACCFDFCE_00045	1	53051	53533	+	483	224	225	191
ACCFDFCE_00046	1	53738	54724	+	987	75	68	79
ACCFDFCE_00047	1	54945	55715	+	771	31	14	42
ACCFDFCE_00048	1	55734	56537	+	804	44	15	49
ACCFDFCE_00049	1	56601	57371	+	771	33	11	40
ACCFDFCE_00050	1	57438	58205	+	768	43	13	48
ACCFDFCE_00051	1	58299	60536	+	2238	83	84	150
ACCFDFCE_00052	1	60687	61865	+	1179	19	22	21
ACCFDFCE_00053	1	61867	63255	+	1389	18	23	19
ACCFDFCE_00054	1	63748	65415	-	1668	23	19	13
ACCFDFCE_00055	1	65735	67510	-	1776	11	7	16
ACCFDFCE_00056	1	67684	68556	-	873	1	1	3
ACCFDFCE_00057	1	68669	70066	+	1398	4	8	11
ACCFDFCE_00058	1	70256	70729	+	474	16	24	30
ACCFDFCE_00059	1	70991	72583	+	1593	284	413	280
ACCFDFCE_00060	1	72912	74462	-	1551	1393	48943	1131
ACCFDFCE_00061	1	74883	75635	-	753	7	314	7
ACCFDFCE_00062	1	76004	77002	-	999	14	31	16
ACCFDFCE_00063	1	76999	77994	-	996	14	38	18
ACCFDFCE_00064	1	78010	79002	-	993	24	83	47
ACCFDFCE_00065	1	79233	80213	+	981	2	1	1
ACCFDFCE_00066	1	80210	81220	+	1011	1	1	1
ACCFDFCE_00067	1	81241	82995	+	1755	3	2	1
ACCFDFCE_00068	1	83072	84244	+	1173	2	1	1
ACCFDFCE_00069	1	84234	85970	+	1737	3	2	3
ACCFDFCE_00070	1	85951	87729	+	1779	3	4	4
ACCFDFCE_00071	1	87701	88480	+	780	4	8	5
ACCFDFCE_00072	1	88480	89682	+	1203	5	6	7
ACCFDFCE_00073	1	89686	90450	+	765	10	12	12
ACCFDFCE_00074	1	90646	91053	+	408	63	38	96
ACCFDFCE_00075	1	91103	91729	+	627	69	42	128
ACCFDFCE_00076	1	91941	92717	+	777	429	761	774
ACCFDFCE_00077	1	93062	94033	+	972	3	99	3
ACCFDFCE_00078	1	93996	94688	+	693	2	57	2
ACCFDFCE_00079	1	94898	96064	+	1167	1	36	2
ACCFDFCE_00080	1	96045	97283	+	1239	1	20	2
ACCFDFCE_00081	1	97273	98703	+	1431	4	18	5
ACCFDFCE_00082	1	98971	99570	+	600	296	316	530
ACCFDFCE_00083	1	99938	100537	+	600	2236	6227	1828
ACCFDFCE_00084	1	100853	101593	-	741	43	57	53
ACCFDFCE_00085	1	101844	102551	+	708	3	4	5
ACCFDFCE_00086	1	102552	103910	+	1359	5	7	7
ACCFDFCE_00087	1	103991	104653	+	663	336	382	559
ACCFDFCE_00088	1	104681	105859	+	1179	193	303	348
ACCFDFCE_00089	1	105990	106805	-	816	8	25	9
ACCFDFCE_00090	1	106802	107602	-	801	7	24	9
ACCFDFCE_00091	1	107604	108377	-	774	12	44	14
ACCFDFCE_00092	1	108591	109547	-	957	14	63	18
ACCFDFCE_00093	1	109776	111320	+	1545	5	5	4
ACCFDFCE_00094	1	111371	112906	+	1536	17	30	28
ACCFDFCE_00095	1	113254	113352	-	99	0	0	0
ACCFDFCE_00096	1	113566	114051	+	486	1	1	1
ACCFDFCE_00097	1	114036	114326	+	291	1	0	1
ACCFDFCE_00098	1	114733	115001	-	269	503	382	389
ACCFDFCE_00099	1	115350	115571	+	222	9	12	7
ACCFDFCE_00100	1	116021	118630	+	2610	9	6	17
ACCFDFCE_00101	1	118975	119643	+	669	13	4	31
ACCFDFCE_00102	1	119659	120345	+	687	19	7	36
ACCFDFCE_00103	1	120348	121112	+	765	24	8	41
ACCFDFCE_00104	1	121132	122955	+	1824	9	4	21
ACCFDFCE_00105	1	122945	123973	+	1029	10	4	18
ACCFDFCE_00106	1	123986	125095	+	1110	8	3	19
ACCFDFCE_00107	1	125099	126223	+	1125	9	4	25
ACCFDFCE_00108	1	126226	126852	+	627	10	5	22
ACCFDFCE_00109	1	126857	127966	+	1110	9	4	23
ACCFDFCE_00110	1	127980	129146	+	1167	5	3	15
ACCFDFCE_00111	1	129139	130344	+	1206	4	2	11
ACCFDFCE_00112	1	130345	131550	+	1206	7	4	22
ACCFDFCE_00113	1	131561	132118	+	558	9	7	26
ACCFDFCE_00114	1	132118	133005	+	888	10	8	30
ACCFDFCE_00115	1	133059	134321	+	1263	14	13	37
ACCFDFCE_00116	1	134398	135543	+	1146	16	20	43
ACCFDFCE_00117	1	135608	135934	-	327	34	91	76
ACCFDFCE_00118	1	135941	136324	-	384	22	34	40
ACCFDFCE_00119	1	136751	138238	+	1488	2199	1497	2739
ACCFDFCE_00120	1	138884	139843	+	960	21	15	22
ACCFDFCE_00121	1	139905	140108	-	204	26	19	26
ACCFDFCE_00122	1	140287	140799	+	513	33	38	53
ACCFDFCE_00123	1	141141	141881	+	741	2	1	3
ACCFDFCE_00124	1	141895	142869	+	975	4	6	5
ACCFDFCE_00125	1	142866	143627	+	762	2	3	5
ACCFDFCE_00126	1	143637	144671	+	1035	4	5	8
ACCFDFCE_00127	1	144888	145247	+	360	394	562	721
ACCFDFCE_00128	1	145420	146445	+	1026	132	96	29
ACCFDFCE_00129	1	146831	148081	+	1251	36	41	58
ACCFDFCE_00130	1	148528	155703	+	7176	40	33	80
ACCFDFCE_00131	1	155716	156360	+	645	68	67	133
ACCFDFCE_00132	1	156688	157182	-	495	232	149	217
ACCFDFCE_00133	1	157437	158201	-	765	26	23	22
ACCFDFCE_00134	1	158217	159458	-	1242	35	22	22
ACCFDFCE_00135	1	159470	160504	-	1035	28	18	16
ACCFDFCE_00136	1	160062	160253	+	192	0	0	0
ACCFDFCE_00137	1	160540	161724	-	1185	29	17	13
ACCFDFCE_00138	1	161977	163332	-	1356	119	133	80
ACCFDFCE_00139	1	163608	164165	-	558	338	171	417
ACCFDFCE_00140	1	164232	165872	-	1641	483	224	580
ACCFDFCE_00141	1	166146	168191	-	2046	102	93	105
ACCFDFCE_00142	1	168777	169832	+	1056	1116	295	331
ACCFDFCE_00143	1	169832	170728	+	897	664	165	202
ACCFDFCE_00144	1	170740	172194	+	1455	666	190	208
ACCFDFCE_00145	1	172194	173072	+	879	479	151	152
ACCFDFCE_00146	1	173266	173547	-	282	52	24	27
ACCFDFCE_00147	1	173760	174350	+	591	135	186	148
ACCFDFCE_00148	1	174405	176549	+	2145	100	133	113
ACCFDFCE_00149	1	176754	177596	+	843	63	87	75
ACCFDFCE_00150	1	177598	178521	+	924	57	75	65
ACCFDFCE_00151	1	178508	179620	+	1113	51	63	56
ACCFDFCE_00152	1	179885	181477	-	1593	7	10	11
ACCFDFCE_00153	1	181479	182912	+	1434	4	5	5
ACCFDFCE_00154	1	182918	184081	+	1164	4	6	4
ACCFDFCE_00155	1	184098	185873	+	1776	7	7	7
ACCFDFCE_00156	1	185911	187917	+	2007	10	11	14
ACCFDFCE_00157	1	188215	188988	-	774	41	26	58
ACCFDFCE_00158	1	189178	189804	-	627	48	87	92
ACCFDFCE_00159	1	190013	190591	+	579	3	3	8
ACCFDFCE_00160	1	190974	192071	+	1098	36	53	43
ACCFDFCE_00161	1	192084	193355	+	1272	74	87	57
ACCFDFCE_00162	1	193358	194626	+	1269	85	108	72
ACCFDFCE_00163	1	194628	195467	+	840	93	106	81
ACCFDFCE_00164	1	195541	196617	+	1077	139	150	126
ACCFDFCE_00165	1	196642	197682	+	1041	90	103	84
ACCFDFCE_00166	1	197737	198705	+	969	130	167	120
ACCFDFCE_00167	1	199066	199560	-	495	2	2	3
ACCFDFCE_00168	1	199793	201172	+	1380	154	100	44
ACCFDFCE_00169	1	201531	202289	-	759	48	38	64
ACCFDFCE_00170	1	202282	203838	-	1557	28	24	46
ACCFDFCE_00171	1	203835	204803	-	969	15	17	25
ACCFDFCE_00172	1	205391	207640	+	2250	83	67	2908
ACCFDFCE_00173	1	207663	208418	+	756	46	38	3413
ACCFDFCE_00174	1	208754	210517	+	1764	4	8	10
ACCFDFCE_00175	1	210681	211025	-	345	1	4	1
ACCFDFCE_00176	1	211215	213125	+	1911	13	13	4
ACCFDFCE_00177	1	213729	214913	-	1185	1866	1149	128
ACCFDFCE_00178	1	214943	217204	-	2262	1601	1111	153
ACCFDFCE_00179	1	217390	218601	-	1212	1680	1281	198
ACCFDFCE_00180	1	218713	220218	-	1506	1651	1352	227
ACCFDFCE_00181	1	220244	221806	-	1563	1992	1661	315
ACCFDFCE_00182	1	222175	223404	+	1230	29	45	51
ACCFDFCE_00183	1	223718	225193	-	1476	24	23	107
ACCFDFCE_00184	1	225391	225747	-	357	30	27	148
ACCFDFCE_00185	1	225904	226077	-	174	208	253	785
ACCFDFCE_00186	1	226103	227248	-	1146	241	262	913
ACCFDFCE_00187	1	227821	228774	+	954	1109	416	302
ACCFDFCE_00188	1	229094	230623	-	1530	18	163	137
ACCFDFCE_00189	1	230985	231920	+	936	43	27	46
ACCFDFCE_00190	1	232259	234355	+	2097	2	2	2
ACCFDFCE_00191	1	234340	234807	+	468	1	1	2
ACCFDFCE_00192	1	234830	235108	+	279	2	1	3
ACCFDFCE_00193	1	235335	236594	+	1260	2	1	3
ACCFDFCE_00194	1	236612	237667	+	1056	4	3	6
ACCFDFCE_00195	1	237669	237815	+	147	1	0	0
ACCFDFCE_00196	1	237839	238882	+	1044	13	10	12
ACCFDFCE_00197	1	239410	240126	+	717	420	457	443
ACCFDFCE_00198	1	240119	241144	+	1026	235	295	289
ACCFDFCE_00199	1	241166	242860	+	1695	295	379	346
ACCFDFCE_00200	1	243288	244457	+	1170	15	13	18
ACCFDFCE_00201	1	244733	245449	+	717	119	163	169
ACCFDFCE_00202	1	245442	246467	+	1026	246	269	301
ACCFDFCE_00203	1	246489	248177	+	1689	238	302	337
ACCFDFCE_00204	1	248210	249934	+	1725	261	347	384
ACCFDFCE_00205	1	250074	250748	+	675	19	29	60
ACCFDFCE_00206	1	250995	252749	+	1755	39	58	78
ACCFDFCE_00207	1	252752	253492	+	741	31	40	60
ACCFDFCE_00208	1	253611	254048	+	438	8	14	69
ACCFDFCE_00209	1	254041	254742	+	702	289	585	424
ACCFDFCE_00210	1	254850	255554	-	705	67	252	159
ACCFDFCE_00211	1	255703	256494	+	792	26	29	51
ACCFDFCE_00212	1	256510	257946	+	1437	35	34	53
ACCFDFCE_00213	1	257985	258183	-	199	88	85	129
ACCFDFCE_00214	1	258379	259140	-	762	20	24	30
ACCFDFCE_00215	1	259391	260305	-	915	128	60	178
ACCFDFCE_00216	1	260333	260737	-	405	166	73	206
ACCFDFCE_00217	1	260752	261633	-	882	60	35	96
ACCFDFCE_00218	1	261865	262863	-	999	21	31	39
ACCFDFCE_00219	1	263243	263635	+	393	29	20	53
ACCFDFCE_00220	1	263724	263945	-	222	17	13	12
ACCFDFCE_00221	1	263863	264267	+	405	1	2	2
ACCFDFCE_00222	1	264308	265684	-	1377	3	3	5
ACCFDFCE_00223	1	265918	266910	+	993	27	29	40
ACCFDFCE_00224	1	267236	268186	+	951	47	43	60
ACCFDFCE_00225	1	268238	268897	-	660	175	110	142
ACCFDFCE_00226	1	268911	269831	-	921	89	63	89
ACCFDFCE_00227	1	269828	270994	-	1167	70	61	82
ACCFDFCE_00228	1	271062	272585	-	1524	758	725	693
ACCFDFCE_00229	1	272856	273509	+	654	16	18	19
ACCFDFCE_00230	1	273543	274130	+	588	45	36	46
ACCFDFCE_00231	1	274273	275175	-	903	195	94	370
ACCFDFCE_00232	1	275414	275707	+	294	19571	4438	10476
ACCFDFCE_00233	1	275791	278820	+	3030	232	58	200
ACCFDFCE_00234	1	278820	279278	+	459	231	46	167
ACCFDFCE_00235	1	279250	279492	+	243	110	22	83
ACCFDFCE_00236	1	279505	280839	+	1335	159	33	118
ACCFDFCE_00237	1	280861	281016	+	156	146	36	98
ACCFDFCE_00238	1	281044	285300	+	4257	95	21	90
ACCFDFCE_00239	1	285330	285722	+	393	23	7	38
ACCFDFCE_00240	1	285738	286052	+	315	35	9	43
ACCFDFCE_00241	1	286049	286726	+	678	31	11	48
ACCFDFCE_00242	1	286732	287043	+	312	25	7	34
ACCFDFCE_00243	1	287044	288897	+	1854	52	37	73
ACCFDFCE_00244	1	288908	289399	+	492	302	251	445
ACCFDFCE_00245	1	289607	290290	+	684	104	62	110
ACCFDFCE_00246	1	290437	291048	+	612	26	26	36
ACCFDFCE_00247	1	291184	291402	+	219	189	97	177
ACCFDFCE_00248	1	291534	292034	+	501	205	124	217
ACCFDFCE_00249	1	292045	292545	+	501	88	33	70
ACCFDFCE_00250	1	292556	292708	+	153	82	39	85
ACCFDFCE_00251	1	292752	293051	+	300	369	229	455
ACCFDFCE_00252	1	293062	293553	+	492	91	36	76
ACCFDFCE_00253	1	293763	294446	+	684	125	67	122
ACCFDFCE_00254	1	295032	295532	+	501	114	74	126
ACCFDFCE_00255	1	295544	296044	+	501	125	74	127
ACCFDFCE_00256	1	296055	296555	+	501	145	78	125
